Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
73	52	Open hold	Girl double-handed turn	Wrap	easy, turn	old Week 9			
74	135	Wrap	Roll out girl	Cliffhanger	easy, turn	old Week 9			
75	-	Cliffhanger	Free spin	Open hold	easy, turn	old Week 9			
76	dup	Open hold	Girl turn 5/4	Side-by-side	turn	old Week 10			
77	dup	Side-by-side	About turn	Side-by-side		old Week 10			
78	dup	Side-by-side	Girl spin + boy spin	Open hold	fast, turn	old Week 10			
79	-	Side-by-side	Girl spin + boy spin	Control hold	fast, turn	old Week 10			
80	dup	Open hold	Girl turn	Hammerlock	easy, turn	old Week 10			
81	dup	Hammerlock	Double turn	Wrap	turn, fast	old Week 10			
82	dup	Wrap	Free spin	Open hold	easy, turn	old Week 10			
83	348	Crosshand	Boy turn	Boy hammerlock	easy	old Week 11			Leader keeps one hand high, one hand low.
84	dup	Open hold	Girl double-handed turn	Wrap	easy, turn	old Week 11			
85	17	Wrap	Push-pull	Cliffhanger	easy, fun, swap	old Week 11			
86	85	Cliffhanger	Approach/retreat	Cliffhanger		old Week 11			
87	-	Wrap	Circle walk	Open hold	fun	old Week 12			Arm over girl + boy hand to elbow + boy turn + haircomb + circle walk + girl turn
90	-	Control hold	Girl turn	Hammerlock	easy, turn	extra			
91	dup	Open hold	Boy turn	Crosshand	easy, boy	Week 9	2014-02-20		
92	25	Crosshand	Girl double-handed turn + flick	Crosshand	turn	Week 9	2014-02-20		
93	dup	Crosshand	Throw two hands	Crosshand	basic	Week 9	2014-02-20		
94	dup	Crosshand	Girl double-handed turn	Crosshand	easy, turn	Week 9	2014-02-20		
95	681	Crosshand	Two arm circles	Arms up	fun	Week 9	2014-02-20		Girl's hands end up above her head, one hand holding the other wrist.
96	3	Arms up	Free turn	Open hold	easy, turn	Week 9	2014-02-20		
97	dup	Open hold	Girl double-handed turn	Catapult	easy, turn	Week 9	2014-02-20		
98	4	Catapult	Catapult + boy turn	Boy hammerlock	fun	Week 9	2014-02-20		
99	11	Boy hammerlock	Windmill	Boy hammerlock	fun, hard, turn	Week 9	2014-02-20		Both double-handed turn at the same time. While back-to-back, lower first hand before raising second.
100	-	Boy hammerlock	Girl haircomb	Close hold	easy, basic	Week 9	2014-02-20		
101	695	Close hold	Body roll down + body roll up	Close hold	fun, body	Week 9	2014-02-20		Body roll into a squat, then do it in reverse.
102	dup	Open hold	Boy turn	Crosshand	easy, boy	Week 12	2014-02-27		
103	-	Crosshand	Double haircomb	Crosshand	basic	Week 12	2014-02-27		
104	dup	Crosshand	Girl double-handed turn + flick	Crosshand	turn	Week 12	2014-02-27		
105	dup	Crosshand	Throw two hands	Crosshand	basic	Week 12	2014-02-27		
106	9	Crosshand	Girl turn	Hammerlock crosshand	easy, turn	Week 12	2014-02-27		
107	-	Hammerlock crosshand	Girl turn + boy haircomb	Close hold opened	easy, turn	Week 12	2014-02-27		
108	695	Close hold opened	Girl bodyroll twice	Close hold opened	body	Week 12	2014-02-27		
109	-	Close hold opened	Girl step forward, half turn, head roll	Close hold	fun, hard	Week 12	2014-02-27		
110	-	Close hold opened	Girl flare half turn	Wrap	fun, hard	Week 12	2014-02-27		Girl step forward, half turn flare leg, quarter turn
111	16,695	Wrap	Bodyroll both	Wrap	easy, body	Week 12	2014-02-27		
112	dup	Open hold	Basic	Open hold	easy, basic	Week 1	2014-03-06		
114	-	Control hold	Step touch	Open hold	easy, basic	Week 1	2014-03-06		
115	dup	Open hold	Boy turn	Crosshand	easy, boy	Week 1	2014-03-06		
116	-	Crosshand	Girl double-handed turn	Hands up	easy, turn	Week 1	2014-03-06		
117	1	Hands up	Double arm sweep	Arms up	easy, basic, fun	Week 1	2014-03-06		Sweep girl's arms around in a big circle (pressure on forearm, near wrist). Inside, down, outside, up. 
118	-	Arms up	Free turn	Close hold	easy, turn	Week 1	2014-03-06		Led by reaching across to hip and pulling it slightly
119	-	Close hold	Head roll	Close hold	easy, body	Week 1	2014-03-06		
120	dup	Open hold	Boy turn	Crosshand	easy, boy	Week 2	2014-03-13		
121	-	Crosshand	Girl turn	Sweetheart	easy, turn	Week 2	2014-03-13		Girl 3/4 turn so that both end facing the same way, hands at shoulder height.
122	16	Sweetheart	Walk forward	Sweetheart	easy, basic	Week 2	2014-03-13		Three steps forward
123	122	Sweetheart	Slow about turn	Sweetheart	easy	Week 2	2014-03-13		Walk forward three steps (indicating turn just before 3) then turn on 4. Repeat.  (led with forearm/shoulder/chest)
124	123	Sweetheart	Fast about turns	Sweetheart	fast	Week 2	2014-03-13		Leader presses hands inward; girl presses hands outward. Girl steps across herself repeatedly. Needs contra/swooping motion as well, hard to lead.
125	122	Sweetheart	Unwind	Hands up	easy, turn	Week 2	2014-03-13		Lead with contra. End with hands between heads
126	-	Hands up	Double arm sweep	Close hold	easy, basic, fun	Week 2	2014-03-13		Sweep girl's arms around in a big circle (pressure on forearm, near wrist). Inside, down, outside, up. 
127	-	Shoulder wrap	Girl outside turn	Hammerlock crosshand	fun, turn	Week 2	2014-03-13		
128	dup	Hammerlock crosshand	Girl turn + boy haircomb	Close hold opened	easy, turn	Week 2	2014-03-13		
129	dup	Open hold	Girl turn	Hammerlock	easy, turn	Week 3	2014-03-20		
130	dup	Hammerlock	Unwind	Open hold	easy, turn	Week 3	2014-03-20		
131	dup	Hammerlock	Crossover	Open hold	easy, swap	Week 3	2014-03-20		Walk past each other, half turn.
132	dup	Hammerlock	Windmill	Hammerlock	fun, hard, turn	Week 3	2014-03-20		
133	98	Open hold	Boy turn	Boy hammerlock	easy, boy	Week 3	2014-03-20		
134	160	Boy hammerlock	Boy bow	Open hold	boy	Week 3	2014-03-20		Holding hammerlock hand but dropping the other, leader bows / slides under follower's arm.
135	3	Open hold	Girl turn	Wrap	easy, turn	Week 4	2014-03-27		
136	123	Wrap	Girl half turn	Shoulder wrap	easy	Week 4	2014-03-27		
137	-	Shoulder wrap	Girl turn + boy hand to elbow + boy turn + haircomb	Arm up	turn	Week 4	2014-03-27		
138	74	Shoulder wrap	Girl turn	Open hold	easy, turn	Week 4	2014-03-27		
139	dup	Arm up	Girl turn	Open hold	easy, turn	Week 4	2014-03-27		
140	dup	Open hold	Girl turn	Wrap	easy, turn	Week 4	2014-03-27		
141	dup	Wrap	Push-pull	Cliffhanger	easy, fun, swap	Week 4	2014-03-27		Push girl forward on count 1, step back. Pull back past on step 2. 3,4 go into cliffhanger behind you, then turn girl with other hand.
142	4	Cliffhanger	Boy turn + trail	Arm up	easy, swap	Week 4	2014-03-27		Boy trails girl's hand around his torso
143	-	Arm up	Girl turn	Close hold	easy, turn	Week 4	2014-03-27		
144	43	Cliffhanger	Boy walks behind	Mates hold	swap	Week 4	2014-03-27		Boy places his hand on girl's waist (top of hip) then walks behind her and half-turns into cuddle
145	193	Open hold	Girl turn + boy back scratch	Open hold	hard, turn, swap	Adv	2014-04-02		Girl turns on 1,2; boy outside half turn, lets girl's hand trail down his back to other hand. Boy throws girl's hand away to move her sideways and pulls other hand forwards for 1.5 turn.
146	dup	Open hold	Girl double-handed turn	Catapult	easy, turn	Adv	2014-04-02		
147	53	Catapult	Catapult + block + arm behind	Hammerlock	hard	Adv	2014-04-02		
148	dup	Hammerlock	Windmill	Hammerlock	fun, hard, turn	Adv	2014-04-02		
149	13	Hammerlock	Double unwind into dip	Open hold	fast, fun	Adv	2014-04-02		At end of second turn, firmly place girl's hand on boy's lower back
150	dup	Close hold	Basic	Close hold	easy, basic	Week 6	2014-04-11		
151	dup	Close hold	Basic forward	Close hold	easy, basic	Week 6	2014-04-11		
152	dup	Close hold	Spin	Close hold	easy, swap	Week 6	2014-04-11		
153	40	Close hold	Half spin + drag	Close hold	fun, body	Week 6	2014-04-11		On third count, pull girl forward by her lower back using your palm/wrist (fingers are unpleasant?)
154	dup	Close hold	Bodyroll + side dip	Close hold	body	Week 6	2014-04-11		
155	15	Control hold	Girl half turn	Mates hold	hard	Adv	2014-04-16		Push hand into contra then turn (a bit late, and gently) and throw hand up, prevent full turn with hand on hip.
156	44	Mates hold	Lunge	Mates hold	easy	Adv	2014-04-16		Push hips forward, then shoulders, then pull hips back (girl sticks booty out backward). Boy to side, not behind!
157	156	Mates hold	Titanic lunge	Mates hold	hard, body	Adv	2014-04-16		Hands right out to side, push shoulders forward (girl lunges).
158	19	Mates hold	Both half turn	Boy wrap		Adv	2014-04-16		Girl half inside turn, boy half outside turn (hand stays high for outside turn (outside hand)).
159	20	Boy wrap	Boy half inside turn	Boy hammerlock		Adv	2014-04-16		Inside hand goes high.
160	1	Boy hammerlock	Four count basic	Boy hammerlock	easy, basic	Adv	2014-04-16		
161	497	Boy hammerlock	Elbow bump	Control hold	easy, basic	Adv	2014-04-16		Boy gently nudges girl's hammerlock forearm with elbow, and slides to the right for four counts.
162	135	Control hold	Twists and turn	Wrap	hard, fun, tango	Adv	2014-04-16		Boy very strong, pushes girl using his frame. Girl twists on rightfoot for 2, then leftfoot for 2, then right one (contra) and turn into strong cuddle.
163	dup	Wrap	Roll out girl	Cliffhanger	easy, turn	Adv	2014-04-16		
164	74	Cliffhanger	Wind up	Close hold	turn	Adv	2014-04-16		Boy pulls girl back in and uses button on her back to get under her arm. Keeps free hand on hip so girl's free hand goes to chest or neck.
165	dup	Close hold	Basic	Close hold	easy, basic	Week 8	2014-04-24		
166	29	Close hold	Horizontal sway	Close hold	body	Week 8	2014-04-24		Move girl's shoulderblades left and right.
167	38	Close hold	Lunge and arm sweep	Close hold	hard, basic	Week 8	2014-04-24		
168	dup	Close hold	Spin	Close hold	easy, swap	Week 8	2014-04-24		
169	3	Close hold	Back away + girl turn	Close hold offset	easy, turn	Week 8	2014-04-24		Hand to shoulderblade to signify back to close hold
170	34	Close hold offset	Tango	Close hold	hard, fun	Week 8	2014-04-24		Step back while turning with girl, then on third step put new inside foot behind girl, hold on 4 for her to kick between boy's legs.
171	-	Close hold	Basic	Close hold offset	easy, basic	Week 8	2014-04-24		
172	451	Close hold offset	Side lunge	Close hold	easy, fun, body	Week 8	2014-04-24		Holding girl very firmly against your side, perform a side lunge for 8 counts. Girl slowly drags outside foot to knee, keeping legs closed as always. Boy's torso must remain vertical; girl must use core strength to stay straight. Girl also pushes against boy's left hand for support if needed, boy must keep this tensed.
173	135	Open hold	Boy turn, girl turn	Shoulder wrap	fast, turn	Adv	2014-04-30		
174	74	Shoulder wrap	Unwind	Cliffhanger	easy, turn	Adv	2014-04-30		
175	43	Cliffhanger	Walk through	Cliffhanger	hard	Adv	2014-04-30		
176	175	Cliffhanger	Girl bow; push forward + pull back	Mates hold	hard, fun, body	Adv	2014-04-30		Pull girl's arm up and forward on 1, hand across waist on 2,she bows on 3 (dissipating momentum), boy mostly behind on 4. Push hip on 5, pull on 6, bodyroll 7&8. Might be easier to lead with a walk through first.
177	684	Mates hold	Lazy sway	Mates hold	easy, basic, body	Adv	2014-04-30		
178	85	Mates hold	Push-pull	Close hold	easy, fun	Adv	2014-04-30		Push girl forward and step back on 5, pull on 6 and walk around, boy half turn on 7.
179	40	Close hold	Spin	Cliffhanger	hard, turn	Adv	2014-04-30		
180	86	Cliffhanger	Approach/retreat (double time)	Cliffhanger	fast	Adv	2014-04-30		Both step forward one foot after another on 1, back on 2, repeat. Lead with frame/hand.
181	280	Cliffhanger	Throw hand	Close hold	easy, basic	Adv	2014-04-30		
182	52	Open hold	Girl + boy double-handed turn	Open hold	fast	Week 9	2014-05-01		
183	dup	Open hold	Girl double-handed turn	Catapult	easy, turn	Week 9	2014-05-01		
185	dup	Arm up	Girl turn	Open hold	easy, turn	Week 9	2014-05-01		
186	-	Arm up	Girl turn + swap hand	Crosshand	easy, turn	Week 9	2014-05-01		
187	dup	Open hold	Girl double-handed turn	Catapult	easy, turn	Week 9	2014-05-01		
188	414	Crosshand	Circle walk	Open hold	hard, swap	Week 9	2014-05-01		Window each other (hands over head) so each has a hand behind the other's neck. Walk around each other in a circle.
189	20	Catapult	Boy hesitation turn	Boy wrap	easy	Week 9	2014-05-01		
190	21	Boy wrap	Boy hands over head + girl trail down back	Boy wrap	easy	Week 9	2014-05-01		
191	192	Boy wrap	Girl turn + haircomb	Close hold	easy, turn	Week 9	2014-05-01		
192	22	Boy wrap	Girl turn	Open hold	easy, turn	Week 9	2014-05-01		
193	3	Open hold	Girl turn + boy turn	Open hold	fast, turn	Adv	2014-05-07		
194	4	Open hold	Boy turn	Catapult	easy, boy	Adv	2014-05-07		
195	dup	Catapult	Catapult + block + slips	Catapult	basic, hard	Adv	2014-05-07		Catapult arm around for four counts. On the way back, slip arm through catapult (twice).
196	dup	Catapult	Catapult + block + arm behind	Hammerlock	hard	Adv	2014-05-07		Push arm behind girl's back when blocking.
197	-	Hammerlock	Unwind	Control hold	easy, turn	Adv	2014-05-07		
198	-	Control hold	Hesitation step	Stepped back	easy, basic	Adv	2014-05-07		
199	-	Stepped back	Pull forward	Wrap	body	Adv	2014-05-07		Pull forward on 1, put hand to waist on 2 and pull back, walk behind into cuddle.
200	16,166	Wrap	Horizontal sway	Wrap	body	Adv	2014-05-07		
201	111	Wrap	Lead bodyrolls from side	Close hold	body, fun	Adv	2014-05-07		Right hand on back to lead roll, left hand on far hip to prevent falling forward. 2 bodyrolls and then into close hold, all in four beats.
202	-	Control hold	Step back	Cliffhanger	easy, basic	Week 10	2014-05-08		
203	2	Cliffhanger	Approach/retreat	Open hold		Week 10	2014-05-08		Pull & step forward on 1 and 2, back on 3 and 4 but tap last step (use same foot again for next beat)
204	dup	Open hold	Boy turn	Crosshand	easy, boy	Week 10	2014-05-08		
205	dup	Crosshand	Girl double-handed + boy turn	Boy hammerlock	fast, turn	Week 10	2014-05-08		
206	497	Boy hammerlock	Haircomb + bump arm	Open hold	easy, basic	Week 10	2014-05-08		Boy bumps girl's wrist with free elbow to break hammerlock ; girl's arm travels in semicircle to top then grabs her booty
207	dup	Open hold	Girl turn 5/4	Side-by-side	turn	Week 10	2014-05-08		To lead, sweep arm lowish and firmly forward, keep moving after girl turn
208	dup	Side-by-side	About turn	Side-by-side		Week 10	2014-05-08		Step forward for 2 then turn, 4 is a tap
209	dup	Side-by-side	Girl spin + boy spin	Open hold	fast, turn	Adv	2014-05-14		
210	-	Close hold	Wave hands around	Close hold	easy, basic	Adv	2014-05-14		Lift left hand on 1 (and kick slightly with a foot), then swap.
211	-	Close hold	Step forward + spin	Control hold	easy, swap	Adv	2014-05-14		
212	682	Control hold	Hesitation step	Control hold	easy, basic	Adv	2014-05-14		
213	-	Control hold	Girl turn + boy turn; arm sweep	Arm up	easy, turn	Adv	2014-05-14		
214	-	Arm up	Girl turn	Control hold	easy, turn	Adv	2014-05-14		
215	135	Control hold	Copa	Wrap		Adv	2014-05-14		Led by hands bouncing up on last beat of previous bar then pull on first beat
216	dup	Wrap	Basic	Wrap	easy, basic	Adv	2014-05-14		
217	45	Wrap	Step back x2 + kick	Wrap	hard, fun	Adv	2014-05-14		Back, back, forward, kick & rise, down
218	-	Wrap	Girl turn	Crosshand	easy, turn	Adv	2014-05-14		
219	193	Crosshand	Girl turn + boy outside turn	Boy hammerlock	hard, turn	Adv	2014-05-14		
220	dup	Boy hammerlock	Haircomb + bump arm	Open hold	easy, basic	Adv	2014-05-14		
221	3	Open hold	Girl turn + dip	Open hold	turn, fun	Adv	2014-05-14		Place right hand on her back on 6, her right hand on your back on 7. Do not lean forward or rotate your frame. Girl pushes left heel forward and opens out away from boy, watching her dropped hand. 
222	dup	Open hold	Girl turn	Wrap	easy, turn	Week 11	2014-05-15		
223	dup	Wrap	Push-pull	Cliffhanger	easy, fun, swap	Week 11	2014-05-15		Push girl forward with body just before 1, step across to other side and pull back on 2, let her travel back further on 3,4, then present other hand for turn.
224	-	Open hold	Crossover boy trail + swap hands + throw hand	Crosshand	hard	Week 11	2014-05-15		
225	215	Crosshand	Copa	Sweetheart	turn	Week 11	2014-05-15		
226	509	Sweetheart	Hesitation step	Sweetheart	body	Week 11	2014-05-15		Hands at shoulder height, step forward on 1 but keep back foot in place on 2. Repeat for 3, 4.
227	111	Sweetheart	Bodyroll	Sweetheart	body	Week 11	2014-05-15		
228	-	Sweetheart	Unwind + throw hand	Crosshand	easy, turn	Week 11	2014-05-15		
229	dup	Crosshand	Throw two hands	Crosshand	basic	Week 11	2014-05-15		
230	-	Crosshand	Arm circles + hip turn + bodyroll	Close hold	easy, fun, body	Week 11	2014-05-15		
231	-	Open hold	Arm circles	Arms up	easy, basic	Adv w/ Manuel	2014-05-21		
232	-	Arms up	Free turn	Hands on waist	easy, fun, turn	Adv w/ Manuel	2014-05-21		
233	203	Hands on waist	Hip pinball	Arms up	hard, basic, body	Adv w/ Manuel	2014-05-21		Girl goes to one side, boy to the other. Keep shoulders horizontal. Take arms on fourth beat.
234	dup	Arms up	Free turn	Open hold	easy, turn	Adv w/ Manuel	2014-05-21		
235	dup	Open hold	Girl turn + boy turn	Open hold	fast, turn	Adv w/ Manuel	2014-05-21		
236	-	Open hold	Girl turn + boy outside turn & swap hand + throw hand	Side-by-side	fast, turn, hard	Adv w/ Manuel	2014-05-21		
237	-	Cliffhanger	Free spin	Wrap	easy, turn	Adv w/ Manuel	2014-05-21		
238	111	Wrap	Bamboleo	Wrap	body	Adv w/ Manuel	2014-05-21		Roll hips in a horizontal circle : left, then hip forward, then neutral 
239	-	Wrap	Free spin	Embrace	easy, turn	Adv w/ Manuel	2014-05-21		Hands on shoulderblades
240	28	Embrace	Scoop dip, bodyroll	Embrace	body	Adv w/ Manuel	2014-05-21		
241	dup	Crosshand	Girl + boy double-handed turn	Crosshand	fast, turn	Manuel	2014-05-22		
242	dup	Crosshand	Girl hesitation turn	Mates hold	hard	Manuel	2014-05-22		Put right hand on girl's waist, left hands extended
243	414	Mates hold	Girl turns around boy	Boy wrap	fun	Manuel	2014-05-22		Led with left hand high
244	-	Boy wrap	Left hand over, boy half turn	Crosshand	easy	Manuel	2014-05-22		
245	dup	Close hold	Basic	Close hold	easy, basic	Week 13	2014-05-28		
246	38	Close hold	Grind step	Close hold	easy, basic	Week 13	2014-05-28		Step forward on 1 and back on 2
247	30	Close hold	Stop and roll	Close hold	body	Week 13	2014-05-28		Basic on 1 but stop on 2 (no movement). Bodyroll on 3,4.
248	-	Close hold	Step back + throw hand	Side-by-side	body	Week 13	2014-05-28		
249	47	Side-by-side	Pivots	Side-by-side	body	Week 13	2014-05-28		Twitch hand so follower stiffens, hold her wrist. Use hand to pivot follower.
250	dup	Side-by-side	Girl spin + boy spin	Control hold	fast, turn	Week 13	2014-05-28		
251	170	Control hold	Tango parade	Side-by-side	hard	Week 13	2014-05-28		Girl faces to side and walks forwards, boy walks backwards
252	dup	Side-by-side	About turn	Side-by-side		Week 13	2014-05-28		Both forward on 1, 2, half turn inwards on 3 (swap hands) (led on 1), tap on 4.
253	dup	Side-by-side	Girl spin + boy spin	Open hold	fast, turn	Week 13	2014-05-28		
254	dup	Open hold	Girl turn	Hammerlock	easy, turn	Week 13	2014-05-28		
255	10	Hammerlock	Hands low turn	Hammerlock	fun, turn	Week 13	2014-05-28		Keeping both hands very low, turn girl. Near the end of the turn, flick hand to allow completion.
256	5	Open hold	Elbow break + boy turn	Crosshand	easy	Adv	2014-06-18		
257	-	Crosshand	Girl turn + flick + boy outside turn	Boy hammerlock	turn	Adv	2014-06-18		
258	134	Boy hammerlock	Boy bow	Crosshand	boy	Adv	2014-06-18		
259	dup	Crosshand	Girl turn	Sweetheart	easy, turn	Adv	2014-06-18		
