Start	Move	End	Tags	Origin	Date	Description	Index	Parent
Mates hold	Basic	Mates hold	easy, basic	Week 5	2014-01-30	Mates hold is when both are facing the same way, boy's right hand on girl's hip and left hands extended outward. Boy is offset to avoid awkwardness. Booty rolls optional.	44	16
Mates hold	Step back + kick forward	Mates hold	hard	Week 5	2014-01-30	Left foot back, right knee touches back of follower's thigh to push follower's leg into kick + step forward. Lead with frame to avoid foot collisions. Can also do back-back-forward-thighpush.	45	17
Open hold	Girl turn 5/4	Side-by-side	turn	Week 6	2014-02-06	Girl turns, then both dancers do an extra quarter turn to end up facing the same way.	46	3
Side-by-side	About turn	Side-by-side		Week 6	2014-02-06	Both forward on 1, 2, half turn inwards on 3 (swap hands) (led on 1), tap on 4.	47	414
Side-by-side	Girl spin + boy spin	Open hold	fast, turn	Week 6	2014-02-06		48	414
Open hold	Girl + boy double-handed turn	Boy haircombed	fast, turn	Week 6	2014-02-06	????	49	182
Boy haircombed	Girl haircomb	Open hold	basic	Week 6	2014-02-06		50	-
Open hold	Girl turn	Open hold	easy, turn	Week 6	2014-02-06		51	dup
Open hold	Girl double-handed turn	Catapult	easy, turn	Week 6	2014-02-06		52	3
Catapult	Catapult	Open hold	basic	Week 6	2014-02-06	Wind up then catapult follower's hand, it will travel in a circle and end at the top.	53	1
Catapult	Catapult + block + reverse	Catapult	basic, hard	Week 6	2014-02-06	Wind up then catapult follower's hand, it will travel in a circle. Block it when horizontal travelling up and reverse direction.	54	53
Catapult	Catapult + block + slips	Catapult	basic, hard	Week 6	2014-02-06	Left hand pushes anti-clockwise for arm wheel through tiny parting of hands x2	55	53
Catapult	Girl double-handed turn	Open hold	easy, turn	Week 6	2014-02-06		56	52
Open hold	Step back	Stepped back	easy, basic	Week 7	2014-02-13		57	-
Stepped back	Walk past tangle	Catapult	swap	Week 7	2014-02-13	Standing to side, boy haircomb with inside hand, walk past and half turn with outside hand going over as well.	58	52
Catapult	Girl double-handed turn	Open hold	easy, turn	Week 7	2014-02-13		59	dup
Open hold	Girl turn 5/4	Side-by-side	turn	Week 7	2014-02-13		60	dup
Cliffhanger	Boy walk past	Crosshand		Week 7	2014-02-13	Put girl's hand on your waist as you walk past, then both half turn	61	-
Crosshand	Girl hesitation turn	Mates hold	hard	Week 7	2014-02-13	Put right hand on girl's waist, left hands extended	62	15
Mates hold	Girl half turn	Hammerlock crosshand	fun	Week 7	2014-02-13		63	62
Hammerlock crosshand	Girl turn + boy haircomb	Close hold	easy, turn	Week 7	2014-02-13		64	-
Wrap	Haircomb	Mates hold	fun, body, basic	extra		Release both hands from seatbelted, then collect hand and extend out to side.	65	16
Open hold	Boy turn	Crosshand	easy, boy	old Week 9			66	dup
Crosshand	Girl + boy double-handed turn	Crosshand	fast, turn	old Week 9			67	25
Crosshand	Girl haircomb	Open hold	easy, basic	old Week 9			68	dup
Open hold	Girl turn + swap hand	Crosshand	easy, turn	old Week 9			69	-
Crosshand	Girl double-handed + boy turn	Boy hammerlock	fast, turn	old Week 9			70	25
Boy hammerlock	Haircomb + arm sweep	Arm up	fun	old Week 9			71	-
Arm up	Girl turn	Open hold	easy, turn	old Week 9			72	-
Open hold	Girl double-handed turn	Wrap	easy, turn	old Week 9			73	52
Wrap	Roll out girl	Cliffhanger	easy, turn	old Week 9			74	135
Cliffhanger	Free spin	Open hold	easy, turn	old Week 9			75	-
Open hold	Girl turn 5/4	Side-by-side	turn	old Week 10			76	dup
Side-by-side	About turn	Side-by-side		old Week 10			77	dup
Side-by-side	Girl spin + boy spin	Open hold	fast, turn	old Week 10			78	dup
Side-by-side	Girl spin + boy spin	Control hold	fast, turn	old Week 10			79	-
Open hold	Girl turn	Hammerlock	easy, turn	old Week 10			80	dup
Hammerlock	Double turn	Wrap	turn, fast	old Week 10			81	dup
Wrap	Free spin	Open hold	easy, turn	old Week 10			82	dup
Crosshand	Boy turn	Boy hammerlock	easy	old Week 11		Leader keeps one hand high, one hand low.	83	348
Open hold	Girl double-handed turn	Wrap	easy, turn	old Week 11			84	dup
Wrap	Push-pull	Cliffhanger	easy, fun, swap	old Week 11			85	17
Cliffhanger	Approach/retreat	Cliffhanger		old Week 11			86	85
Wrap	Circle walk	Open hold	fun	old Week 12		Arm over girl + boy hand to elbow + boy turn + haircomb + circle walk + girl turn	87	-
Control hold	Girl turn	Hammerlock	easy, turn	extra			90	-
Open hold	Boy turn	Crosshand	easy, boy	Week 9	2014-02-20		91	dup
Crosshand	Girl double-handed turn + flick	Crosshand	turn	Week 9	2014-02-20		92	25
Crosshand	Throw two hands	Crosshand	basic	Week 9	2014-02-20		93	dup
Crosshand	Girl double-handed turn	Crosshand	easy, turn	Week 9	2014-02-20		94	dup
Crosshand	Two arm circles	Arms up	fun	Week 9	2014-02-20	Girl's hands end up above her head, one hand holding the other wrist.	95	681
Arms up	Free turn	Open hold	easy, turn	Week 9	2014-02-20		96	-
Open hold	Girl double-handed turn	Catapult	easy, turn	Week 9	2014-02-20		97	dup
Catapult	Catapult + boy turn	Boy hammerlock	fun	Week 9	2014-02-20		98	4
Boy hammerlock	Windmill	Boy hammerlock	fun, hard, turn	Week 9	2014-02-20	Both double-handed turn at the same time. While back-to-back, lower first hand before raising second.	99	11
Boy hammerlock	Girl haircomb	Close hold	easy, basic	Week 9	2014-02-20		100	-
Close hold	Body roll down + body roll up	Close hold	fun, body	Week 9	2014-02-20	Body roll into a squat, then do it in reverse.	101	695
Open hold	Boy turn	Crosshand	easy, boy	Week 12	2014-02-27		102	dup
Crosshand	Double haircomb	Crosshand	basic	Week 12	2014-02-27		103	-
Crosshand	Girl double-handed turn + flick	Crosshand	turn	Week 12	2014-02-27		104	dup
Crosshand	Throw two hands	Crosshand	basic	Week 12	2014-02-27		105	dup
Crosshand	Girl turn	Hammerlock crosshand	easy, turn	Week 12	2014-02-27		106	9
Hammerlock crosshand	Girl turn + boy haircomb	Close hold opened	easy, turn	Week 12	2014-02-27		107	-
Close hold opened	Girl bodyroll twice	Close hold opened	body	Week 12	2014-02-27		108	695
Close hold opened	Girl step forward, half turn, head roll	Close hold	fun, hard	Week 12	2014-02-27		109	-
Close hold opened	Girl flare half turn	Wrap	fun, hard	Week 12	2014-02-27	Girl step forward, half turn flare leg, quarter turn	110	-
Wrap	Bodyroll both	Wrap	easy, body	Week 12	2014-02-27		111	16
Open hold	Basic	Open hold	easy, basic	Week 1	2014-03-06		112	dup
Control hold	Step touch	Open hold	easy, basic	Week 1	2014-03-06		114	-
Open hold	Boy turn	Crosshand	easy, boy	Week 1	2014-03-06		115	dup
Crosshand	Girl double-handed turn	Hands up	easy, turn	Week 1	2014-03-06		116	-
Hands up	Double arm sweep	Arms up	easy, basic, fun	Week 1	2014-03-06	Sweep girl's arms around in a big circle (pressure on forearm, near wrist). Inside, down, outside, up. 	117	1
Arms up	Free turn	Close hold	easy, turn	Week 1	2014-03-06	Led by reaching across to hip and pulling it slightly	118	-
Close hold	Head roll	Close hold	easy, body	Week 1	2014-03-06		119	-
Open hold	Boy turn	Crosshand	easy, boy	Week 2	2014-03-13		120	dup
Crosshand	Girl turn	Sweetheart	easy, turn	Week 2	2014-03-13	Girl 3/4 turn so that both end facing the same way, hands at shoulder height.	121	-
Sweetheart	Walk forward	Sweetheart	easy, basic	Week 2	2014-03-13	Three steps forward	122	16
Sweetheart	Slow about turn	Sweetheart	easy	Week 2	2014-03-13	Walk forward three steps (indicating turn just before 3) then turn on 4. Repeat.  (led with forearm/shoulder/chest)	123	122
Sweetheart	Fast about turns	Sweetheart	fast	Week 2	2014-03-13	Leader presses hands inward; girl presses hands outward. Girl steps across herself repeatedly. Needs contra/swooping motion as well, hard to lead.	124	123
Sweetheart	Unwind	Hands up	easy, turn	Week 2	2014-03-13	Lead with contra. End with hands between heads	125	122
Hands up	Double arm sweep	Close hold	easy, basic, fun	Week 2	2014-03-13	Sweep girl's arms around in a big circle (pressure on forearm, near wrist). Inside, down, outside, up. 	126	-
Shoulder wrap	Girl outside turn	Hammerlock crosshand	fun, turn	Week 2	2014-03-13		127	-
Hammerlock crosshand	Girl turn + boy haircomb	Close hold opened	easy, turn	Week 2	2014-03-13		128	dup
Open hold	Girl turn	Hammerlock	easy, turn	Week 3	2014-03-20		129	dup
Hammerlock	Unwind	Open hold	easy, turn	Week 3	2014-03-20		130	dup
Hammerlock	Crossover	Open hold	easy, swap	Week 3	2014-03-20	Walk past each other, half turn.	131	dup
Hammerlock	Windmill	Hammerlock	fun, hard, turn	Week 3	2014-03-20		132	dup
Open hold	Boy turn	Boy hammerlock	easy, boy	Week 3	2014-03-20		133	4
Boy hammerlock	Boy bow	Open hold	boy	Week 3	2014-03-20	Holding hammerlock hand but dropping the other, leader bows / slides under follower's arm.	134	160
Open hold	Girl turn	Wrap	easy, turn	Week 4	2014-03-27		135	3
Wrap	Girl half turn	Shoulder wrap	easy	Week 4	2014-03-27		136	123
Shoulder wrap	Girl turn + boy hand to elbow + boy turn + haircomb	Arm up	turn	Week 4	2014-03-27		137	-
Shoulder wrap	Girl turn	Open hold	easy, turn	Week 4	2014-03-27		138	74
Arm up	Girl turn	Open hold	easy, turn	Week 4	2014-03-27		139	dup
Open hold	Girl turn	Wrap	easy, turn	Week 4	2014-03-27		140	dup
Wrap	Push-pull	Cliffhanger	easy, fun, swap	Week 4	2014-03-27	Push girl forward on count 1, step back. Pull back past on step 2. 3,4 go into cliffhanger behind you, then turn girl with other hand.	141	dup
Cliffhanger	Boy turn + trail	Arm up	easy, swap	Week 4	2014-03-27	Boy trails girl's hand around his torso	142	4
Arm up	Girl turn	Close hold	easy, turn	Week 4	2014-03-27		143	-
Cliffhanger	Boy walks behind	Mates hold	swap	Week 4	2014-03-27	Boy places his hand on girl's waist (top of hip) then walks behind her and half-turns into cuddle	144	43
Open hold	Girl turn + boy back scratch	Open hold	hard, turn, swap	Adv	2014-04-02	Girl turns on 1,2; boy outside half turn, lets girl's hand trail down his back to other hand. Boy throws girl's hand away to move her sideways and pulls other hand forwards for 1.5 turn.	145	3
Open hold	Girl double-handed turn	Catapult	easy, turn	Adv	2014-04-02		146	dup
Catapult	Catapult + block + arm behind	Hammerlock	hard	Adv	2014-04-02		147	53
Hammerlock	Windmill	Hammerlock	fun, hard, turn	Adv	2014-04-02		148	dup
Hammerlock	Double unwind into dip	Open hold	fast, fun	Adv	2014-04-02	At end of second turn, firmly place girl's hand on boy's lower back	149	13
Close hold	Basic	Close hold	easy, basic	Week 6	2014-04-11		150	dup
Close hold	Basic forward	Close hold	easy, basic	Week 6	2014-04-11		151	dup
Close hold	Spin	Close hold	easy, swap	Week 6	2014-04-11		152	dup
Close hold	Half spin + drag	Close hold	fun, body	Week 6	2014-04-11	On third count, pull girl forward by her lower back using your palm/wrist (fingers are unpleasant?)	153	40
Close hold	Bodyroll + side dip	Close hold	body	Week 6	2014-04-11		154	dup
Control hold	Girl half turn	Mates hold	hard	Adv	2014-04-16	Push hand into contra then turn (a bit late, and gently) and throw hand up, prevent full turn with hand on hip.	155	15
Mates hold	Lunge	Mates hold	easy	Adv	2014-04-16	Push hips forward, then shoulders, then pull hips back (girl sticks booty out backward). Boy to side, not behind!	156	44
Mates hold	Titanic lunge	Mates hold	hard, body	Adv	2014-04-16	Hands right out to side, push shoulders forward (girl lunges).	157	156
Mates hold	Both half turn	Boy wrap		Adv	2014-04-16	Girl half inside turn, boy half outside turn (hand stays high for outside turn (outside hand)).	158	19
Boy wrap	Boy half inside turn	Boy hammerlock		Adv	2014-04-16	Inside hand goes high.	159	20
Boy hammerlock	Four count basic	Boy hammerlock	easy, basic	Adv	2014-04-16		160	1
Boy hammerlock	Knock arm	Control hold	easy, basic	Adv	2014-04-16	Boy gently nudges girl's hammerlock forearm with elbow, and slides to the right for four counts.	161	160
Control hold	Twists and turn	Wrap	hard, fun	Adv	2014-04-16	Boy very strong, pushes girl using his frame. Girl twists on rightfoot for 2, then leftfoot for 2, then right one (contra) and turn into strong cuddle.	162	135
Wrap	Roll out girl	Cliffhanger	easy, turn	Adv	2014-04-16		163	dup
Cliffhanger	Wind up	Close hold	turn	Adv	2014-04-16	Boy pulls girl back in and uses button on her back to get under her arm. Keeps free hand on hip so girl's free hand goes to chest or neck.	164	74
Close hold	Basic	Close hold	easy, basic	Week 8	2014-04-24		165	dup
Close hold	Horizontal sway	Close hold	body	Week 8	2014-04-24	Move girl's shoulderblades left and right.	166	29
Close hold	Lunge and arm sweep	Close hold	hard, basic	Week 8	2014-04-24		167	38
Close hold	Spin	Close hold	easy, swap	Week 8	2014-04-24		168	dup
Close hold	Back away + girl turn	Close hold offset	easy, turn	Week 8	2014-04-24	Hand to shoulderblade to signify back to close hold	169	3
Close hold offset	Tango	Close hold	hard, fun	Week 8	2014-04-24	Step back while turning with girl, then on third step put new inside foot behind girl, hold on 4 for her to kick between boy's legs.	170	34
Close hold	Basic	Close hold offset	easy, basic	Week 8	2014-04-24		171	-
Close hold offset	Side lunge	Close hold	easy, fun, body	Week 8	2014-04-24	Holding girl very firmly against your side, perform a side lunge for 8 counts. Girl slowly drags outside foot to knee, keeping legs closed as always. Boy's torso must remain vertical; girl must use core strength to stay straight. Girl also pushes against boy's left hand for support if needed, boy must keep this tensed.	172	28
Open hold	Boy turn, girl turn	Shoulder wrap	fast, turn	Adv	2014-04-30		173	135
Shoulder wrap	Unwind	Cliffhanger	easy, turn	Adv	2014-04-30		174	74
Cliffhanger	Walk through	Cliffhanger	hard	Adv	2014-04-30		175	43
Cliffhanger	Girl bow; push forward + pull back	Mates hold	hard, fun, body	Adv	2014-04-30	Pull girl's arm up and forward on 1, hand across waist on 2,she bows on 3 (dissipating momentum), boy mostly behind on 4. Push hip on 5, pull on 6, bodyroll 7&8. Might be easier to lead with a walk through first.	176	175
Mates hold	Lazy sway	Mates hold	easy, basic, body	Adv	2014-04-30		177	166
Mates hold	Push-pull	Close hold	easy, fun	Adv	2014-04-30	Push girl forward and step back on 5, pull on 6 and walk around, boy half turn on 7.	178	85
Close hold	Spin	Cliffhanger	hard, turn	Adv	2014-04-30		179	40
Cliffhanger	Approach/retreat (double time)	Cliffhanger	fast	Adv	2014-04-30	Both step forward one foot after another on 1, back on 2, repeat. Lead with frame/hand.	180	86
Cliffhanger	Throw hand	Close hold	easy, basic	Adv	2014-04-30		181	170
Open hold	Girl + boy double-handed turn	Open hold	fast	Week 9	2014-05-01		182	52
Open hold	Girl double-handed turn	Catapult	easy, turn	Week 9	2014-05-01		183	dup
Arm up	Girl turn	Open hold	easy, turn	Week 9	2014-05-01		185	dup
Arm up	Girl turn + swap hand	Crosshand	easy, turn	Week 9	2014-05-01		186	-
Open hold	Girl double-handed turn	Catapult	easy, turn	Week 9	2014-05-01		187	dup
Crosshand	Circle walk	Open hold	hard, swap	Week 9	2014-05-01	Window each other (hands over head) so each has a hand behind the other's neck. Walk around each other in a circle.	188	414
Catapult	Boy hesitation turn	Boy wrap	easy	Week 9	2014-05-01		189	20
Boy wrap	Boy hands over head + girl trail down back	Boy wrap	easy	Week 9	2014-05-01		190	21
Boy wrap	Girl turn + haircomb	Close hold	easy, turn	Week 9	2014-05-01		191	-
Boy wrap	Girl turn	Open hold	easy, turn	Week 9	2014-05-01		192	22
Open hold	Girl turn + boy turn	Open hold	fast, turn	Adv	2014-05-07		193	3
Open hold	Boy turn	Catapult	easy, boy	Adv	2014-05-07		194	4
Catapult	Catapult + block + slips	Catapult	basic, hard	Adv	2014-05-07	Catapult arm around for four counts. On the way back, slip arm through catapult (twice).	195	dup
Catapult	Catapult + block + arm behind	Hammerlock	hard	Adv	2014-05-07	Push arm behind girl's back when blocking.	196	dup
Hammerlock	Unwind	Control hold	easy, turn	Adv	2014-05-07		197	-
Control hold	Hesitation step	Stepped back	easy, basic	Adv	2014-05-07		198	-
Stepped back	Pull forward	Wrap	body	Adv	2014-05-07	Pull forward on 1, put hand to waist on 2 and pull back, walk behind into cuddle.	199	-
Wrap	Horizontal sway	Wrap	body	Adv	2014-05-07		200	16
Wrap	Lead bodyrolls from side	Close hold	body, fun	Adv	2014-05-07	Right hand on back to lead roll, left hand on far hip to prevent falling forward. 2 bodyrolls and then into close hold, all in four beats.	201	111
Control hold	Step back	Cliffhanger	easy, basic	Week 10	2014-05-08		202	-
Cliffhanger	Approach/retreat	Open hold		Week 10	2014-05-08	Pull & step forward on 1 and 2, back on 3 and 4 but tap last step (use same foot again for next beat)	203	2
Open hold	Boy turn	Crosshand	easy, boy	Week 10	2014-05-08		204	dup
Crosshand	Girl double-handed + boy turn	Boy hammerlock	fast, turn	Week 10	2014-05-08		205	dup
Boy hammerlock	Haircomb + bump arm	Open hold	easy, basic	Week 10	2014-05-08	Boy bumps girl's wrist with free elbow to break hammerlock ; girl's arm travels in semicircle to top then grabs her booty	206	160
Open hold	Girl turn 5/4	Side-by-side	turn	Week 10	2014-05-08	To lead, sweep arm lowish and firmly forward, keep moving after girl turn	207	dup
Side-by-side	About turn	Side-by-side		Week 10	2014-05-08	Step forward for 2 then turn, 4 is a tap	208	dup
Side-by-side	Girl spin + boy spin	Open hold	fast, turn	Adv	2014-05-14		209	dup
Close hold	Wave hands around	Close hold	easy, basic	Adv	2014-05-14	Lift left hand on 1 (and kick slightly with a foot), then swap.	210	-
Close hold	Step forward + spin	Control hold	easy, swap	Adv	2014-05-14		211	-
Control hold	Hesitation step	Control hold	easy, basic	Adv	2014-05-14		212	682
Control hold	Girl turn + boy turn; arm sweep	Arm up	easy, turn	Adv	2014-05-14		213	-
Arm up	Girl turn	Control hold	easy, turn	Adv	2014-05-14		214	-
Control hold	Copa	Wrap		Adv	2014-05-14	Led by hands bouncing up on last beat of previous bar then pull on first beat	215	135
Wrap	Basic	Wrap	easy, basic	Adv	2014-05-14		216	dup
Wrap	Step back x2 + kick	Wrap	hard, fun	Adv	2014-05-14	Back, back, forward, kick & rise, down	217	45
Wrap	Girl turn	Crosshand	easy, turn	Adv	2014-05-14		218	-
Crosshand	Girl turn + boy outside turn	Boy hammerlock	hard, turn	Adv	2014-05-14		219	193
Boy hammerlock	Haircomb + bump arm	Open hold	easy, basic	Adv	2014-05-14		220	dup
Open hold	Girl turn + dip	Open hold	turn, fun	Adv	2014-05-14		221	3
Open hold	Girl turn	Wrap	easy, turn	Week 11	2014-05-15		222	dup
Wrap	Push-pull	Cliffhanger	easy, fun, swap	Week 11	2014-05-15	Push girl forward with body just before 1, step across to other side and pull back on 2, let her travel back further on 3,4, then present other hand for turn.	223	dup
Open hold	Crossover boy trail + swap hands + throw hand	Crosshand	hard	Week 11	2014-05-15		224	-
Crosshand	Copa	Sweetheart	turn	Week 11	2014-05-15		225	215
Sweetheart	Hesitation step	Sweetheart	body	Week 11	2014-05-15	Hands at shoulder height, step forward on 1 but keep back foot in place on 2. Repeat for 3, 4.	226	200
Sweetheart	Bodyroll	Sweetheart	body	Week 11	2014-05-15		227	111
Sweetheart	Unwind + throw hand	Crosshand	easy, turn	Week 11	2014-05-15		228	-
Crosshand	Throw two hands	Crosshand	basic	Week 11	2014-05-15		229	dup
Crosshand	Arm circles + hip turn + bodyroll	Close hold	easy, fun, body	Week 11	2014-05-15		230	-
Open hold	Arm circles	Arms up	easy, basic	Adv w/ Manuel	2014-05-21		231	-
Arms up	Free turn	Hands on waist	easy, fun, turn	Adv w/ Manuel	2014-05-21		232	-
Hands on waist	Hip pinball	Arms up	hard, basic, body	Adv w/ Manuel	2014-05-21	Girl goes to one side, boy to the other. Keep shoulders horizontal. Take arms on fourth beat.	233	203
Arms up	Free turn	Open hold	easy, turn	Adv w/ Manuel	2014-05-21		234	dup
Open hold	Girl turn + boy turn	Open hold	fast, turn	Adv w/ Manuel	2014-05-21		235	dup
Open hold	Girl turn + boy outside turn & swap hand + throw hand	Side-by-side	fast, turn, hard	Adv w/ Manuel	2014-05-21		236	-
Cliffhanger	Free spin	Wrap	easy, turn	Adv w/ Manuel	2014-05-21		237	-
Wrap	Bamboleo	Wrap	body	Adv w/ Manuel	2014-05-21	Roll hips in a horizontal circle : left, then hip forward, then neutral 	238	111
Wrap	Free spin	Embrace	easy, turn	Adv w/ Manuel	2014-05-21	Hands on shoulderblades	239	-
Embrace	Scoop dip, bodyroll	Embrace	body	Adv w/ Manuel	2014-05-21		240	28
Crosshand	Girl + boy double-handed turn	Crosshand	fast, turn	Manuel	2014-05-22		241	dup
Crosshand	Girl hesitation turn	Mates hold	hard	Manuel	2014-05-22	Put right hand on girl's waist, left hands extended	242	dup
Mates hold	Girl turns around boy	Boy wrap	fun	Manuel	2014-05-22	Led with left hand high	243	414
Boy wrap	Left hand over, boy half turn	Crosshand	easy	Manuel	2014-05-22		244	-
Close hold	Basic	Close hold	easy, basic	Week 13	2014-05-28		245	dup
Close hold	Grind step	Close hold	easy, basic	Week 13	2014-05-28	Step forward on 1 and back on 2	246	38
Close hold	Stop and roll	Close hold	body	Week 13	2014-05-28	Basic on 1 but stop on 2 (no movement). Bodyroll on 3,4.	247	30
Close hold	Step back + throw hand	Side-by-side	body	Week 13	2014-05-28		248	-
Side-by-side	Pivots	Side-by-side	body	Week 13	2014-05-28	Twitch hand so follower stiffens, hold her wrist. Use hand to pivot follower.	249	47
Side-by-side	Girl spin + boy spin	Control hold	fast, turn	Week 13	2014-05-28		250	dup
Control hold	Tango parade	Side-by-side	hard	Week 13	2014-05-28	Girl faces to side and walks forwards, boy walks backwards	251	170
Side-by-side	About turn	Side-by-side		Week 13	2014-05-28	Both forward on 1, 2, half turn inwards on 3 (swap hands) (led on 1), tap on 4.	252	dup
Side-by-side	Girl spin + boy spin	Open hold	fast, turn	Week 13	2014-05-28		253	dup
Open hold	Girl turn	Hammerlock	easy, turn	Week 13	2014-05-28		254	dup
Hammerlock	Hands low turn	Hammerlock	fun, turn	Week 13	2014-05-28	Keeping both hands very low, turn girl. Near the end of the turn, flick hand to allow completion.	255	10
Open hold	Elbow break + boy turn	Crosshand	easy	Adv	2014-06-18		256	5
Crosshand	Girl turn + flick + boy outside turn	Boy hammerlock	turn	Adv	2014-06-18		257	-
Boy hammerlock	Boy bow	Crosshand	boy	Adv	2014-06-18		258	134
Crosshand	Girl turn	Sweetheart	easy, turn	Adv	2014-06-18		259	dup
Sweetheart	Girl double turn + flick	Crosshand	fast, turn	Adv	2014-06-18	Both facing the same way, hands at shoulder height.	260	-
Crosshand	Girl turn	Awkward wrap	easy, turn	Adv	2014-06-18	Turn the wrong way for which way up your hands are, resulting in an awkward wrap	261	3
Awkward wrap	Unwind + girl turn	Hammerlock	fast, turn	Adv	2014-06-18		262	-
Hammerlock	Unwind + boy haircomb	Close hold	easy, turn	Adv	2014-06-18		263	-
Open hold	Girl turn	Wrap	easy, turn	Week 4	2014-06-26		264	dup
Wrap	Girl half turn x2	Wrap	hard	Week 4	2014-06-26	Needs strong frame here -- boy squeezes inward, girl pushes outward with hands, making a W shape with arms (elbows bent 90 degrees max).	265	47
Wrap	Free spin	Open hold	easy, turn	Week 4	2014-06-26		266	dup
